mean_difference,statistical_parity_difference,disparate_impact,n_privileged,n_unprivileged,mean_label_privileged,mean_label_unprivileged,name
-0.08582608777074796,-0.08582608777074796,0.8611944422077812,4247,1031,0.6183188132799623,0.5324927255092143,Real
0.20999999999999996,0.20999999999999996,1.8076923076923075,200,200,0.26,0.47,ICL Real
0.245,0.245,5.8999999999999995,200,200,0.05,0.295,No ICL
0.15499999999999997,0.15499999999999997,1.3780487804878048,200,200,0.41,0.565,Clean
-0.09,-0.09,0.0,200,200,0.09,0.0,Mild Bias 0%
-0.11172779319482984,-0.11172779319482984,0.7083469294524571,201,199,0.38308457711442784,0.271356783919598,Mild Bias 10%
-0.125803145078627,-0.125803145078627,0.7393151323628451,201,199,0.48258706467661694,0.35678391959798994,Mild Bias 20%
-0.04500000000000004,-0.04500000000000004,0.901098901098901,200,200,0.455,0.41,Mild Bias 30%
-0.14000000000000007,-0.14000000000000007,0.7499999999999999,200,200,0.56,0.42,Mild Bias 40%
-0.235,-0.235,0.5982905982905983,200,200,0.585,0.35,Mild Bias 50%
-0.07017675441886045,-0.07017675441886045,0.8643699265558562,201,199,0.5174129353233831,0.4472361809045226,Mild Bias 60%
-0.06,-0.06,0.8811881188118812,200,200,0.505,0.445,Mild Bias 70%
-0.20499999999999996,-0.20499999999999996,0.652542372881356,200,200,0.59,0.385,Mild Bias 80%
0.00022500562514071731,0.00022500562514071731,1.000430725053841,201,199,0.5223880597014925,0.5226130653266332,Mild Bias 90%
0.1499999999999999,0.1499999999999999,1.275229357798165,200,200,0.545,0.695,Mild Bias 100%
