age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,race_White,race_Black,race_Other,y
15,4,5849,11,3,2,8,1,4,1,0,0,34,39,1.0,0.0,0.0,0.0
10,4,12166,10,15,5,8,1,4,1,0,0,33,39,1.0,0.0,0.0,0.0
33,4,23409,11,15,2,3,1,4,1,0,0,33,39,1.0,0.0,0.0,0.0
15,6,22025,11,3,2,3,0,4,1,0,0,35,39,1.0,0.0,0.0,0.0
9,4,24496,5,14,4,4,4,4,1,0,0,13,39,1.0,0.0,0.0,0.0
13,4,22814,10,15,2,3,1,4,1,0,0,49,39,1.0,0.0,0.0,0.0
12,4,28374,11,15,4,3,2,4,1,0,0,16,39,1.0,0.0,0.0,0.0
35,4,22389,11,14,2,3,0,4,1,0,0,34,39,1.0,0.0,0.0,0.0
26,4,19697,11,4,2,3,0,4,1,0,0,8,39,1.0,0.0,0.0,0.0
11,4,3948,11,4,4,1,0,4,1,0,0,34,39,1.0,0.0,0.0,0.0
