0,1
"{'sex': '1', 'age': '36.0', 'juv_fel_count': '0.0', 'juv_misd_count': '1.0', 'juv_other_count': '0.0', 'priors_count': '2.0', 'race': '0', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '40.0', 'juv_fel_count': '2.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': '0', 'c_charge_degree': 'M', 'y': '1'}"
"{'sex': '1', 'age': '35.0', 'juv_fel_count': '0.0', 'juv_misd_count': '1.0', 'juv_other_count': '0.0', 'priors_count': '2.0', 'race': 'Caucasian', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '42.0', 'juv_fel_count': '1.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': 'African-American', 'c_charge_degree': 'M', 'y': '1'}"
"{'sex': '1', 'age': '38.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '1.0', 'priors_count': '2.0', 'race': '0', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '45.0', 'juv_fel_count': '1.0', 'juv_misd_count': '2.0', 'juv_other_count': '0.0', 'priors_count': '0.0', 'race': '0', 'c_charge_degree': 'F', 'y': '1'}"
"{'sex': '1', 'age': '36.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '1.0', 'priors_count': '2.0', 'race': 'Caucasian', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '40.0', 'juv_fel_count': '1.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': 'African-American', 'c_charge_degree': 'M', 'y': '1'}"
"{'sex': '1', 'age': '32.0', 'juv_fel_count': '0.0', 'juv_misd_count': '1.0', 'juv_other_count': '0.0', 'priors_count': '2.0', 'y': '0', 'race': 'Caucasian', 'c_charge_degree': 'F'}","{'sex': '0', 'age': '45.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '1.0', 'priors_count': '1.0', 'y': '1', 'race': 'African-American', 'c_charge_degree': 'M'}"
"{'sex': '1', 'age': '36.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '1.0', 'priors_count': '2.0', 'race': 'Caucasian', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '49.0', 'juv_fel_count': '0.0', 'juv_misd_count': '1.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': 'African-American', 'c_charge_degree': 'M', 'y': '1'}"
"{'sex': '1', 'age': '28.0', 'juv_fel_count': '1.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '2.0', 'race': 'Caucasian', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '45.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': 'African-American', 'c_charge_degree': 'M', 'y': '0'}"
"{'sex': '1', 'age': '37.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '1.0', 'priors_count': '2.0', 'race': 'Caucasian', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '45.0', 'juv_fel_count': '1.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': 'African-American', 'c_charge_degree': 'M', 'y': '1'}"
"{'sex': '1', 'age': '35.0', 'juv_fel_count': '1.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '2.0', 'race': 'Caucasian', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '42.0', 'juv_fel_count': '0.0', 'juv_misd_count': '2.0', 'juv_other_count': '0.0', 'priors_count': '0.0', 'race': 'African-American', 'c_charge_degree': 'M', 'y': '1'}"
"{'sex': '1', 'age': '38.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '1.0', 'priors_count': '4.0', 'race': '1', 'c_charge_degree': 'F', 'y': '0'}","{'sex': '0', 'age': '48.0', 'juv_fel_count': '0.0', 'juv_misd_count': '0.0', 'juv_other_count': '0.0', 'priors_count': '1.0', 'race': '1', 'c_charge_degree': 'M', 'y': '0'}"
